+--------+---------+----------------+------------+----------+
| OPCODE | CHANNEL |      REG       | RAW OPCODE | RAW DATA |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0xacac  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x8484  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x2c2c  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x8787  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x6c6c  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x8989  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8c8c  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x8a8a  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0xc0c   |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x8b8b  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0xcccc  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x8d8d  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x2c2c  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x8f8f  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0xc0c   |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x9191  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x6c6c  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x9393  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0xecec  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x9393  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x4c4c  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x9494  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x2222  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x3030  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0xcccc  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x9494  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x4f4f  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xa0a0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0x5050  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0x8e8e  |
