+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |   0x9090   |
|    READ   |    X    |     CALR3      |          |    0x0     |
|   WRITE   |    X    |    ENHANCE     |          |   0x1010   |
|   WRITE   |    X    |    AUTO(g)     |          |   0x3f3f   |
|   WRITE   |    X    |    ZCAL_EN     |          |   0x404    |
|    READ   |    X    |    LINEFEED    |          |    0x0     |
|   WRITE   |    X    |    LINEFEED    |          |    0x0     |
| RAM-WRITE |    X    |                |  0x27a   | 0x1d999d52 |
| RAM-WRITE |    X    |                |  0x27b   | 0x1f26f6a1 |
| RAM-WRITE |    X    |                |  0x27c   |  0x40a0e0  |
| RAM-WRITE |    X    |                |  0x27e   | 0x1ad888e8 |
| RAM-WRITE |    X    |                |  0x27f   | 0x1cfbde56 |
| RAM-WRITE |    X    |                |  0x280   | 0x5dfabcb  |
| RAM-WRITE |    X    |                |  0x281   | 0x50d2839  |
| RAM-WRITE |    X    |                |  0x282   | 0x3fe7f0f  |
| RAM-WRITE |    X    |                |  0x283   |  0xf7a560  |
| RAM-WRITE |    X    |                |  0x284   |  0x6b0532  |
| RAM-WRITE |    X    |                |  0x285   |  0x2f737c  |
| RAM-WRITE |    X    |                |  0x355   |  0x5b0afb  |
| RAM-WRITE |    X    |                |  0x354   |  0x6d4060  |
| RAM-WRITE |    X    |                |  0x2bd   |   0x8000   |
| RAM-WRITE |    X    |                |  0x35a   |  0x48d595  |
| RAM-WRITE |    X    |                |  0x35b   |  0x3fbae2  |
| RAM-WRITE |    X    |                |  0x2be   |   0x8000   |
| RAM-WRITE |    X    |                |  0x356   |  0xf0000   |
| RAM-WRITE |    X    |                |  0x357   |  0x80000   |
| RAM-WRITE |    X    |                |  0x358   |  0x140000  |
| RAM-WRITE |    X    |                |  0x359   |  0x140000  |
| RAM-WRITE |    X    |                |  0x2ec   | 0x1ba5e35  |
| RAM-WRITE |    X    |                |  0x2f0   |  0x51eb85  |
| RAM-WRITE |    X    |                |  0x2ef   |  0x415f45  |
|   WRITE   |    X    |    LINEFEED    |          |    0x0     |
| RAM-WRITE |    X    |                |  0x2f3   |  0x40000   |
| RAM-WRITE |    X    |                |  0x34c   | 0x7e6c000  |
| RAM-WRITE |    X    |                |  0x34d   |  0x27f1a3  |
| RAM-WRITE |    X    |                |  0x34e   |    0x0     |
| RAM-WRITE |    X    |                |  0x34b   |    0x0     |
| RAM-WRITE |    X    |                |  0x27d   | 0x15e5200e |
| RAM-WRITE |    X    |                |  0x35c   |  0x6c94d6  |
| RAM-WRITE |    X    |                |  0x350   |  0x614e73  |
| RAM-WRITE |    X    |                |  0x34f   | 0xfffffff  |
| RAM-WRITE |    X    |                |  0x352   |   0x8000   |
| RAM-WRITE |    X    |                |  0x351   |   0x8000   |
| RAM-WRITE |    X    |                |  0x2f1   |  0x51eb82  |
| RAM-WRITE |    X    |                |  0x380   |    0x0     |
| RAM-WRITE |    X    |                |  0x300   | 0x59cda16  |
|   WRITE   |    X    |    RINGTALO    |          |   0x8080   |
|   WRITE   |    X    |    RINGTAHI    |          |   0x3e3e   |
|   WRITE   |    X    |    RINGTILO    |          |    0x0     |
|   WRITE   |    X    |    RINGTIHI    |          |   0x7d7d   |
| RAM-WRITE |    X    |                |  0x398   | 0x1893740  |
|   WRITE   |    X    |    RINGCON     |          |   0x8080   |
|   WRITE   |    X    |    USERSTAT    |          |    0x0     |
| RAM-WRITE |    X    |                |  0x2ed   | 0x2ce6d0b  |
| RAM-WRITE |    X    |                |  0x1e2   | 0x2ce6d0b  |
| RAM-WRITE |    X    |                |  0x1e3   |  0x3126e8  |
|    READ   |    X    | Unknown (0x7e) |          |   0x303    |
| RAM-WRITE |    X    |                |  0x618   |  0x200000  |
| RAM-WRITE |    X    |                |  0x1b2   |    0x0     |
|    READ   |    X    |    LINEFEED    |          |    0x0     |
|   WRITE   |    X    |    LINEFEED    |          |    0x0     |
| RAM-WRITE |    X    |                |  0x21c   | 0x750e500  |
| RAM-WRITE |    X    |                |  0x21d   | 0x1fc70280 |
| RAM-WRITE |    X    |                |  0x21e   |  0xba980   |
| RAM-WRITE |    X    |                |  0x21f   | 0x1ffd2880 |
| RAM-WRITE |    X    |                |  0x222   | 0xa8e2380  |
| RAM-WRITE |    X    |                |  0x223   | 0x1b905280 |
| RAM-WRITE |    X    |                |  0x224   |  0x847700  |
| RAM-WRITE |    X    |                |  0x225   | 0x1fdafa00 |
| RAM-WRITE |    X    |                |  0x233   |  0x2c8880  |
| RAM-WRITE |    X    |                |  0x234   | 0x1f630d80 |
| RAM-WRITE |    X    |                |  0x235   | 0x27f7980  |
| RAM-WRITE |    X    |                |  0x236   | 0x1f3ad200 |
| RAM-WRITE |    X    |                |  0x237   | 0x40b8680  |
| RAM-WRITE |    X    |                |  0x238   | 0x1f414d00 |
| RAM-WRITE |    X    |                |  0x239   | 0x1427b00  |
| RAM-WRITE |    X    |                |  0x23a   |  0x208200  |
| RAM-WRITE |    X    |                |  0x23b   |  0x26ae00  |
| RAM-WRITE |    X    |                |  0x23c   | 0x1fd71680 |
| RAM-WRITE |    X    |                |  0x23d   | 0xc8edb00  |
| RAM-WRITE |    X    |                |  0x23e   | 0x1b688a00 |
| RAM-WRITE |    X    |                |  0x290   | 0xd7fe800  |
| RAM-WRITE |    X    |                |  0x291   | 0x1a7f1a80 |
| RAM-WRITE |    X    |                |  0x28e   |  0x96fe00  |
| RAM-WRITE |    X    |                |  0x28d   | 0x1f657980 |
| RAM-WRITE |    X    |                |  0x28f   |  0x35500   |
|   WRITE   |    X    |       RA       |          |   0xb4b4   |
| RAM-WRITE |    X    |                |  0x220   | 0x8000000  |
| RAM-WRITE |    X    |                |  0x38a   | 0x1106b80  |
| RAM-WRITE |    X    |                |  0x221   | 0x1106b80  |
| RAM-WRITE |    X    |                |  0x292   | 0x7bc8400  |
| RAM-WRITE |    X    |                |  0x293   | 0x18437c80 |
| RAM-WRITE |    X    |                |  0x294   | 0x7790880  |
| RAM-WRITE |    X    |                |  0x220   | 0x7fffd28  |
| RAM-WRITE |    X    |                |  0x21c   | 0x750e4f0  |
| RAM-WRITE |    X    |                |  0x21d   | 0x1fc70610 |
| RAM-WRITE |    X    |                |  0x21e   |  0xba860   |
| RAM-WRITE |    X    |                |  0x21f   | 0x1ffd2970 |
| RAM-WRITE |    X    |                |  0x38a   | 0x1106a48  |
| RAM-WRITE |    X    |                |  0x221   | 0x1106a48  |
| RAM-WRITE |    X    |                |  0x222   | 0xa8e2218  |
| RAM-WRITE |    X    |                |  0x223   | 0x1b905588 |
| RAM-WRITE |    X    |                |  0x224   |  0x847628  |
| RAM-WRITE |    X    |                |  0x225   | 0x1fdafb70 |
|   WRITE   |    X    |     CALR0      |          |    0x0     |
|   WRITE   |    X    |     CALR1      |          |   0x4040   |
|   WRITE   |    X    |     CALR2      |          |    0x0     |
|   WRITE   |    X    |     CALR3      |          |   0x8080   |
|    READ   |    X    |     CALR3      |          |   0x8f8f   |
|    READ   |    X    |     CALR3      |          |   0x8f8f   |
|    READ   |    X    |     CALR3      |          |   0x8f8f   |
|    READ   |    X    |     CALR3      |          |   0x8f8f   |
|    READ   |    X    |     CALR3      |          |    0x0     |
|   WRITE   |    X    |    LINEFEED    |          |    0x0     |
|    READ   |    X    |     REG75      |          |    0x0     |
|    READ   |    X    |     DIGCON     |          |    0x0     |
|   WRITE   |    X    |     DIGCON     |          |    0x0     |
| RAM-WRITE |    X    |                |  0x206   | 0x3538e80  |
| RAM-WRITE |    X    |                |  0x207   | 0x3538e80  |
| RAM-WRITE |    X    |                |  0x208   | 0x1aa9100  |
| RAM-WRITE |    X    |                |  0x209   | 0x216d100  |
| RAM-WRITE |    X    |                |  0x20a   | 0x2505400  |
| RAM-WRITE |    X    |                |  0x20b   | 0x216d100  |
| RAM-WRITE |    X    |                |  0x20c   | 0x2cb8100  |
| RAM-WRITE |    X    |                |  0x20d   | 0x1d7fa500 |
| RAM-WRITE |    X    |                |  0x20e   | 0x2cd9b00  |
| RAM-WRITE |    X    |                |  0x20f   | 0x1276d00  |
| RAM-WRITE |    X    |                |  0x210   | 0x2cd9b00  |
| RAM-WRITE |    X    |                |  0x211   | 0x2335300  |
| RAM-WRITE |    X    |                |  0x212   | 0x19d5f700 |
| RAM-WRITE |    X    |                |  0x226   | 0x6a71d00  |
| RAM-WRITE |    X    |                |  0x227   | 0x6a71d00  |
| RAM-WRITE |    X    |                |  0x228   | 0x1aa9100  |
| RAM-WRITE |    X    |                |  0x229   | 0x216d100  |
| RAM-WRITE |    X    |                |  0x22a   | 0x2505400  |
| RAM-WRITE |    X    |                |  0x22b   | 0x216d100  |
| RAM-WRITE |    X    |                |  0x22c   | 0x2cb8100  |
| RAM-WRITE |    X    |                |  0x22d   | 0x1d7fa500 |
| RAM-WRITE |    X    |                |  0x22e   | 0x2cd9b00  |
| RAM-WRITE |    X    |                |  0x22f   | 0x1276d00  |
| RAM-WRITE |    X    |                |  0x230   | 0x2cd9b00  |
| RAM-WRITE |    X    |                |  0x231   | 0x2335300  |
| RAM-WRITE |    X    |                |  0x232   | 0x19d5f700 |
|    READ   |    X    |    ENHANCE     |          |   0x1010   |
|   WRITE   |    X    |    ENHANCE     |          |   0x1010   |
|   WRITE   |    X    |    PCMMODE     |          |   0x303    |
|    READ   |    X    |    PCMTXHI     |          |   0x1313   |
|   WRITE   |    X    |    PCMTXHI     |          |   0x303    |
|   WRITE   |    X    |    PCMTXLO     |          |   0x1111   |
|    READ   |    X    |    PCMTXHI     |          |   0x303    |
|   WRITE   |    X    |    PCMTXHI     |          |    0x0     |
|   WRITE   |    X    |    PCMRXLO     |          |   0x1111   |
|    READ   |    X    |    PCMRXHI     |          |    0x0     |
|   WRITE   |    X    |    PCMRXHI     |          |    0x0     |
|    READ   |    X    |    PCMMODE     |          |   0x303    |
|   WRITE   |    X    |    PCMMODE     |          |   0x1313   |
|    READ   |    X    |    AUTO(g)     |          |   0x3f3f   |
|   WRITE   |    X    |    AUTO(g)     |          |   0x3b3b   |
|    READ   |    X    |    LINEFEED    |          |    0x0     |
|   WRITE   |    X    |    LINEFEED    |          |   0x101    |
|   WRITE   |    X    |    AUTO(g)     |          |   0x3f3f   |
|    READ   |    X    |      IRQ1      |          |    0x0     |
|    READ   |    X    |      IRQ2      |          |    0x0     |
|    READ   |    X    |      IRQ3      |          |    0x0     |
|   WRITE   |    X    |     IRQEN1     |          |   0x5050   |
|   WRITE   |    X    |     IRQEN2     |          |   0x1313   |
|   WRITE   |    X    |     IRQEN3     |          |   0x707    |
|   WRITE   |    X    |     IRQEN4     |          |    0x0     |
|    READ   |    X    |    LOOPBACK    |          |    0x0     |
|   WRITE   |    X    |    PCMMODE     |          |   0x1313   |
|   WRITE   |    X    |     IRQEN1     |          |    0x0     |
|   WRITE   |    X    |     IRQEN2     |          |    0x0     |
|   WRITE   |    X    |     IRQEN3     |          |    0x0     |
|   WRITE   |    X    |     IRQEN4     |          |    0x0     |
|   WRITE   |    X    |     IRQEN2     |          |   0x202    |
|    READ   |    X    |      IRQ2      |          |    0x0     |
|   WRITE   |    X    |    ENHANCE     |          |    0x0     |
|   WRITE   |    X    |    LINEFEED    |          |   0x101    |
|    READ   |    X    |    LINEFEED    |          |   0x1111   |
|   WRITE   |    X    |    LINEFEED    |          |    0x0     |
|   WRITE   |    X    |    LINEFEED    |          |   0x202    |
|   WRITE   |    X    |    LINEFEED    |          |   0x101    |
+-----------+---------+----------------+----------+------------+
