+-----------+---------+----------------+----------+------------+----------+
|   OPCODE  | CHANNEL |      REG       | RAM_ADDR |  RAW_DATA  | DELAY_MS |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x5d98400  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1a3d8400 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x538ca00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x5348a00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1d698000 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x469ca00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11718600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6180a00  |  0.304   |
| RAM-WRITE |    0    |                |  0x54f   | 0x145dca00 |  0.287   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11898600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0xd2cca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6048a00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x42cca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6108a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x534ca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x800c400  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x469ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11a18600 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x5340a00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x145dca00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1b0d8000 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x42cca00  |  0.270   |
| RAM-WRITE |    0    |                |  0x54f   | 0x5808a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1b0d8000 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   |  0x4c0a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x42cca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x38b4400  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002000 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1424ca00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0xd70d000  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   |  0x4cc600  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1424c400 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10003600 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14918000 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1000ca00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x3990400  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x8812a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |  0.277   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11fd8600 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x3750000  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340200 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x8510c00  |  0.297   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002a00 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x19500200 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x194c0a00 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x698ca00  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6a18400  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   |  0x2cca00  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x459ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12558600 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   |  0x1cca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0xfd8c400  |  0.290   |
