+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
| RAM-WRITE |    0    |                |  0x54f   | 0x461c000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x11458600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x5d98400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1a3d8400 |
| RAM-WRITE |    0    |                |  0x54f   | 0x538ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x5348a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1d698000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x469ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x11718600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6180a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x145dca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x11898600 |
| RAM-WRITE |    0    |                |  0x54f   | 0xd2cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x6048a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x42cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x6108a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x534ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x800c400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x469ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x11a18600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x5340a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x145dca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1b0d8000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x42cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x5808a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1b0d8000 |
| RAM-WRITE |    0    |                |  0x54f   |  0x4c0a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x42cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x38b4400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1424ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0xd70d000  |
| RAM-WRITE |    0    |                |  0x54f   |  0x4cc600  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1424c400 |
